GridName, MainOwner, TotalDamage, PrimaryDamage, AOEDamage, ShieldDamage, ProjectileDamage
(NPC-CD) Border Patrol Drone (H), , 62320, 61320, 1000, 0, 0
(NPC-ACS) Hornet Drone Mk2, , 36000, 0, 0, 36000, 0
(NPC-ACS) 'Humboldt' Exploration Ship 02-AT1, , 236405, 55803, 0, 180600, 2
(NPC-CCF) Graf (A), , 359513, 131513, 0, 228000, 0
(NPC-CD) Mk.V Patrol Drone, , 232000, 4000, 0, 228000, 0
(NPC-ACS) Mulgara Scout 01-AT2, , 10200, 0, 0, 10200, 0
(NPC-CMF) Sweeper (A), , 272000, 0, 0, 272000, 0
(NPC-CD) Viper Drone (H), , 4500, 4500, 0, 0, 0
, , 5549, 5549, 0, 0, 0
, , 707, 527, 0, 180, 0
(NPC-ACS) JXS Chasqui 02-AT2, , 420, 420, 0, 0, 0
, , 1692, 1692, 0, 0, 0
, , 105, 105, 0, 0, 0
, , 915, 915, 0, 0, 0
, , 30, 30, 0, 0, 0
, , 120, 120, 0, 0, 0
, , 60, 60, 0, 0, 0
Silverbane, Silverbane, 1365, 1185, 0, 180, 0
, , 394, 394, 0, 0, 0
, , 412, 412, 0, 0, 0
(NPC-ACS) 'Humboldt' Exploration Ship 01-AT2, , 25500, 0, 0, 25500, 0
(NPC-CD) Skiff Drone, , 12000, 0, 0, 12000, 0
