05-29-23_18-09-51-902 - Logging Started
18-10-14-886 - (STATS) -------- AIs:[50] - WcBlocks:[214] - AiReq:[22] Targ:[48] Bloc:[575] Aim:[475] CCast:[312] RndCast[114] TopCast[0]
18-10-17-878 - (STATS) -------- AIs:[50] - WcBlocks:[214] - AiReq:[42] Targ:[114] Bloc:[972] Aim:[931] CCast:[510] RndCast[155] TopCast[0]
18-10-20-876 - (STATS) -------- AIs:[50] - WcBlocks:[214] - AiReq:[56] Targ:[128] Bloc:[1466] Aim:[903] CCast:[507] RndCast[188] TopCast[0]
18-10-23-879 - (STATS) -------- AIs:[49] - WcBlocks:[214] - AiReq:[42] Targ:[106] Bloc:[674] Aim:[609] CCast:[388] RndCast[107] TopCast[0]
18-10-26-875 - (STATS) -------- AIs:[49] - WcBlocks:[214] - AiReq:[30] Targ:[102] Bloc:[540] Aim:[558] CCast:[378] RndCast[78] TopCast[0]
18-10-29-875 - (STATS) -------- AIs:[49] - WcBlocks:[214] - AiReq:[30] Targ:[102] Bloc:[392] Aim:[410] CCast:[252] RndCast[56] TopCast[0]
18-10-32-876 - (STATS) -------- AIs:[49] - WcBlocks:[214] - AiReq:[36] Targ:[102] Bloc:[116] Aim:[176] CCast:[63] RndCast[11] TopCast[0]
18-10-35-881 - (STATS) -------- AIs:[49] - WcBlocks:[214] - AiReq:[36] Targ:[102] Bloc:[134] Aim:[180] CCast:[63] RndCast[15] TopCast[0]
18-10-38-876 - (STATS) -------- AIs:[49] - WcBlocks:[214] - AiReq:[33] Targ:[104] Bloc:[227] Aim:[258] CCast:[130] RndCast[24] TopCast[0]
18-10-41-876 - (STATS) -------- AIs:[49] - WcBlocks:[214] - AiReq:[33] Targ:[105] Bloc:[125] Aim:[181] CCast:[63] RndCast[13] TopCast[0]
18-10-44-876 - (STATS) -------- AIs:[49] - WcBlocks:[214] - AiReq:[33] Targ:[105] Bloc:[134] Aim:[183] CCast:[63] RndCast[15] TopCast[0]
18-10-47-876 - (STATS) -------- AIs:[49] - WcBlocks:[214] - AiReq:[33] Targ:[105] Bloc:[116] Aim:[179] CCast:[63] RndCast[11] TopCast[0]
18-10-50-881 - (STATS) -------- AIs:[49] - WcBlocks:[214] - AiReq:[33] Targ:[105] Bloc:[134] Aim:[183] CCast:[63] RndCast[15] TopCast[0]
18-10-53-876 - (STATS) -------- AIs:[49] - WcBlocks:[214] - AiReq:[34] Targ:[106] Bloc:[226] Aim:[259] CCast:[129] RndCast[24] TopCast[0]
18-10-56-876 - (STATS) -------- AIs:[49] - WcBlocks:[214] - AiReq:[37] Targ:[114] Bloc:[235] Aim:[189] CCast:[67] RndCast[13] TopCast[0]
18-10-59-879 - (STATS) -------- AIs:[49] - WcBlocks:[214] - AiReq:[33] Targ:[110] Bloc:[134] Aim:[185] CCast:[63] RndCast[15] TopCast[0]
18-11-02-877 - (STATS) -------- AIs:[49] - WcBlocks:[214] - AiReq:[36] Targ:[110] Bloc:[134] Aim:[185] CCast:[64] RndCast[11] TopCast[0]
18-11-05-876 - (STATS) -------- AIs:[48] - WcBlocks:[214] - AiReq:[36] Targ:[108] Bloc:[144] Aim:[186] CCast:[63] RndCast[15] TopCast[0]
18-11-08-877 - (STATS) -------- AIs:[48] - WcBlocks:[214] - AiReq:[30] Targ:[102] Bloc:[199] Aim:[252] CCast:[126] RndCast[24] TopCast[0]
18-11-11-890 - (STATS) -------- AIs:[48] - WcBlocks:[214] - AiReq:[30] Targ:[102] Bloc:[125] Aim:[178] CCast:[63] RndCast[13] TopCast[0]
18-11-14-876 - (STATS) -------- AIs:[48] - WcBlocks:[214] - AiReq:[30] Targ:[102] Bloc:[134] Aim:[180] CCast:[63] RndCast[15] TopCast[0]
18-11-17-876 - (STATS) -------- AIs:[48] - WcBlocks:[214] - AiReq:[30] Targ:[102] Bloc:[116] Aim:[176] CCast:[63] RndCast[11] TopCast[0]
18-11-20-876 - (STATS) -------- AIs:[48] - WcBlocks:[214] - AiReq:[30] Targ:[102] Bloc:[134] Aim:[180] CCast:[63] RndCast[15] TopCast[0]
18-11-23-876 - (STATS) -------- AIs:[48] - WcBlocks:[214] - AiReq:[30] Targ:[102] Bloc:[199] Aim:[252] CCast:[126] RndCast[24] TopCast[0]
18-11-26-876 - (STATS) -------- AIs:[48] - WcBlocks:[214] - AiReq:[30] Targ:[102] Bloc:[125] Aim:[178] CCast:[63] RndCast[13] TopCast[0]
18-11-29-876 - (STATS) -------- AIs:[48] - WcBlocks:[214] - AiReq:[30] Targ:[102] Bloc:[134] Aim:[180] CCast:[63] RndCast[15] TopCast[0]
18-11-32-877 - (STATS) -------- AIs:[48] - WcBlocks:[214] - AiReq:[30] Targ:[102] Bloc:[116] Aim:[176] CCast:[63] RndCast[11] TopCast[0]
18-11-35-878 - (STATS) -------- AIs:[48] - WcBlocks:[214] - AiReq:[30] Targ:[102] Bloc:[134] Aim:[180] CCast:[63] RndCast[15] TopCast[0]
18-11-38-876 - (STATS) -------- AIs:[48] - WcBlocks:[214] - AiReq:[30] Targ:[102] Bloc:[199] Aim:[252] CCast:[126] RndCast[24] TopCast[0]
18-11-41-876 - (STATS) -------- AIs:[48] - WcBlocks:[214] - AiReq:[30] Targ:[102] Bloc:[125] Aim:[178] CCast:[63] RndCast[13] TopCast[0]
18-11-44-876 - (STATS) -------- AIs:[48] - WcBlocks:[214] - AiReq:[30] Targ:[102] Bloc:[134] Aim:[180] CCast:[63] RndCast[15] TopCast[0]
18-11-47-877 - (STATS) -------- AIs:[48] - WcBlocks:[214] - AiReq:[30] Targ:[102] Bloc:[116] Aim:[176] CCast:[63] RndCast[11] TopCast[0]
18-11-50-880 - (STATS) -------- AIs:[48] - WcBlocks:[214] - AiReq:[30] Targ:[102] Bloc:[134] Aim:[180] CCast:[63] RndCast[15] TopCast[0]
18-11-53-877 - (STATS) -------- AIs:[48] - WcBlocks:[214] - AiReq:[30] Targ:[102] Bloc:[199] Aim:[252] CCast:[126] RndCast[24] TopCast[0]
18-11-56-877 - (STATS) -------- AIs:[48] - WcBlocks:[214] - AiReq:[30] Targ:[102] Bloc:[125] Aim:[178] CCast:[63] RndCast[13] TopCast[0]
18-11-59-877 - (STATS) -------- AIs:[48] - WcBlocks:[214] - AiReq:[30] Targ:[102] Bloc:[134] Aim:[180] CCast:[63] RndCast[15] TopCast[0]
18-12-02-876 - (STATS) -------- AIs:[48] - WcBlocks:[214] - AiReq:[30] Targ:[102] Bloc:[116] Aim:[176] CCast:[63] RndCast[11] TopCast[0]
18-12-05-877 - (STATS) -------- AIs:[48] - WcBlocks:[214] - AiReq:[30] Targ:[102] Bloc:[134] Aim:[180] CCast:[63] RndCast[15] TopCast[0]
18-12-08-877 - (STATS) -------- AIs:[48] - WcBlocks:[214] - AiReq:[30] Targ:[102] Bloc:[199] Aim:[252] CCast:[126] RndCast[24] TopCast[0]
18-12-12-291 - (STATS) -------- AIs:[48] - WcBlocks:[214] - AiReq:[30] Targ:[102] Bloc:[125] Aim:[178] CCast:[63] RndCast[13] TopCast[0]
18-12-15-372 - (STATS) -------- AIs:[48] - WcBlocks:[214] - AiReq:[30] Targ:[102] Bloc:[134] Aim:[180] CCast:[63] RndCast[15] TopCast[0]
18-12-18-373 - (STATS) -------- AIs:[48] - WcBlocks:[214] - AiReq:[30] Targ:[102] Bloc:[116] Aim:[176] CCast:[63] RndCast[11] TopCast[0]
