05-28-23_22-13-46-408 - Logging Started
22-14-03-927 - (STATS) -------- AIs:[24] - WcBlocks:[120] - AiReq:[10] Targ:[13] Bloc:[95] Aim:[94] CCast:[0] RndCast[81] TopCast[0]
22-14-06-925 - (STATS) -------- AIs:[24] - WcBlocks:[120] - AiReq:[24] Targ:[24] Bloc:[114] Aim:[96] CCast:[0] RndCast[72] TopCast[0]
22-14-09-921 - (STATS) -------- AIs:[24] - WcBlocks:[120] - AiReq:[24] Targ:[24] Bloc:[114] Aim:[96] CCast:[0] RndCast[72] TopCast[0]
22-14-12-921 - (STATS) -------- AIs:[24] - WcBlocks:[120] - AiReq:[24] Targ:[24] Bloc:[114] Aim:[96] CCast:[0] RndCast[72] TopCast[0]
22-14-15-921 - (STATS) -------- AIs:[24] - WcBlocks:[120] - AiReq:[24] Targ:[24] Bloc:[114] Aim:[96] CCast:[0] RndCast[72] TopCast[0]
22-14-18-921 - (STATS) -------- AIs:[24] - WcBlocks:[120] - AiReq:[24] Targ:[24] Bloc:[114] Aim:[96] CCast:[0] RndCast[72] TopCast[0]
22-14-21-921 - (STATS) -------- AIs:[24] - WcBlocks:[120] - AiReq:[24] Targ:[24] Bloc:[28] Aim:[38] CCast:[0] RndCast[14] TopCast[0]
22-14-24-921 - (STATS) -------- AIs:[24] - WcBlocks:[120] - AiReq:[24] Targ:[24] Bloc:[10] Aim:[34] CCast:[0] RndCast[10] TopCast[0]
22-14-27-922 - (STATS) -------- AIs:[24] - WcBlocks:[120] - AiReq:[24] Targ:[24] Bloc:[28] Aim:[38] CCast:[0] RndCast[14] TopCast[0]
22-14-30-921 - (STATS) -------- AIs:[24] - WcBlocks:[120] - AiReq:[24] Targ:[24] Bloc:[28] Aim:[38] CCast:[0] RndCast[14] TopCast[0]
22-14-33-933 - (STATS) -------- AIs:[24] - WcBlocks:[120] - AiReq:[24] Targ:[24] Bloc:[20] Aim:[44] CCast:[0] RndCast[20] TopCast[0]
22-14-36-921 - (STATS) -------- AIs:[24] - WcBlocks:[120] - AiReq:[24] Targ:[24] Bloc:[28] Aim:[38] CCast:[0] RndCast[14] TopCast[0]
