06-01-23_03-01-57-000 - Logging Started
03-02-20-835 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[6] Targ:[6] Bloc:[0] Aim:[6] CCast:[0] RndCast[0] TopCast[0]
03-02-23-834 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-02-26-831 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-02-29-831 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-02-32-830 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-02-35-830 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-02-38-830 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-02-41-831 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-02-44-831 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-02-47-832 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-02-50-832 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-02-53-832 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-02-56-832 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-02-59-832 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-03-02-832 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-03-05-831 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-03-08-832 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-03-11-832 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-03-14-832 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-03-17-850 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-03-20-832 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-03-23-832 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-03-26-918 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-03-30-078 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-03-33-077 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-03-36-078 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-03-39-078 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-03-42-079 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-03-45-079 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-03-48-133 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
